회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
롯데케미칼(주),011170,2017/12,15269369483,47.14,32.04,67.96,22.92,2331524130,0,0,2366584342,2366584342
롯데하이마트(주),071840,2017/12,3204628140,58.19,36.79,63.21,4.06,251737321,0,108431935,207463228,207463228
만호제강(주),001080,2017/06,245424700,8.87,8.15,91.85,-0.33,4783841,0,0,2779510,2779510
명문제약(주),017180,2017/12,200258660,104.94,51.2,48.8,-0.95,9758958,1178341,7466119,8135780,8135780
명신산업(주),009900,2017/12,224926569,168.94,62.82,37.18,-6.13,21681203,0,0,7698025,7698025
무림페이퍼(주),009200,2017/12,882796273,175.43,63.69,36.31,-5.29,10121944,0,0,14384859,14384859
무림피앤피(주),009580,2017/12,1096148181,95.88,48.95,51.05,1.5,105418622,0,0,45387154,45387154
문배철강(주),008420,2017/12,157705853,54.96,35.47,64.53,20.09,-2725699,0,0,6475063,6475063
미래산업(주),025560,2017/12,84848948,38.3,27.69,72.31,50.32,-1971434,0,0,-9111676,-9111676
미래에셋생명보험(주),085620,2017/12,29657894562,1446.17,93.53,6.47,-1.87,915371496,0,0,,98989158
미래에셋증권(주),006800,2017/12,57417285633,675.19,87.1,12.9,128.32,-1746624458,0,0,0,553219249
미원상사(주),002840,2017/12,202286503,23.27,18.88,81.12,5.22,12738273,0,0,9453454,9453454
미원스페셜티케미칼(주),268280,2017/12,220199886,,,,,32966098,0,55288,21813536,21813536
미원홀딩스(주),107590,2017/12,122384142,12.66,11.23,88.77,-99.64,-10579860,0,0,-709620,-709620
